2025年第49周,,,,,,,,,,,,,,,
第49周,周一,,周二,,周三,,周四,,周五,,周六,,周天,,本周的关键词
时间,2025/12/1,,2025/12/2,,2025/12/3,,2025/12/4,,2025/12/5,,2025/12/6,,2025/12/7,,
第一件事,汇报,,汇报,,,,,,,,两个报表,,两个报表,,香格里拉规划
第二件事,,,读书,,,,,,,,12月预算,,读书笔记,,跟老六沟通
第三件事,,,完善时间管理,,,,,,,,数据线,,,,读完书
小确幸,给老六科普增值税,,,,,,,,,,,,,,
关键词,,,,,,,,,,,,,,,
7:00-7:30,短视频,3.2,睡觉,0,睡觉,0,睡觉,0,睡觉,0,睡觉,0,睡觉,0,
7:30-8:00,采购报表,1.3,睡觉,0,睡觉,0,睡觉,0,睡觉,0,睡觉,0,睡觉,0,本周的自我打分
8:00-8:30,采购报表,1.3,睡觉,0,睡觉,0,睡觉,0,睡觉,0,睡觉,0,睡觉,0,
8:30-9:00,上班,0,上班,0,睡觉,0,上班,0,上班,0,短视频,3.2,短视频,3.2,本周的总体评价
9:00-9:30,讲解财务知识,1.3,财报汇报,1.3,睡觉,0,去的路上,0,去的路上,0,去的路上,0,去的路上,0,
9:30-10:00,讲解财务知识,1.3,财报汇报,1.3,睡觉,0,办理合作社,1.3,办理合作社,1.3,拖延,3.3,不良资产管理,1.5,本周读的书
10:00-10:30,开会,1.3,财报汇报,1.3,睡觉,0,办理合作社,1.3,摸鱼买东西,0,拖延,3.3,不良资产管理,1.5,
10:30-11:00,开会,1.3,财报汇报,1.3,睡觉,0,办理合作社,1.3,回的路上,0,拖延,3.3,拖延,3.3,
11:00-11:30,采购分公司流程图,1.3,财报汇报,1.3,短视频,3.2,办理合作社,1.3,拖延,3.3,含张启瑞来搞网络,0,物料清单,1.3,
11:30-12:00,采购分公司流程图,1.3,财报汇报,1.3,短视频,3.2,回的路上,0,拖延,3.3,物料清单,1.3,物料清单,1.3,本周看的电影
12:00-12:30,吃饭,0,吃饭,0,短视频,3.2,休息,0,吃饭,0,与何珊社交,0,吃饭,0,
12:30-13:00,短视频,3.2,短视频,3.2,与小罗吃饭,0,休息,0,休息,0,与何珊社交,0,休息,0,
13:00-13:30,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,与何珊社交,0,休息,0,
13:30-14:00,完善报表,1.3,休息,0,短视频,3.2,短视频,3.2,睡觉,0,短视频,3.2,休息,0,本周做的最有意义的5件工作
14:00-14:30,完善报表,1.3,财报汇报,1.3,短视频,3.2,办理合作社微信认证,1.3,帮小程序认证,1.3,睡觉,0,睡觉,0,
14:30-15:00,完善报表,1.3,财报汇报,1.3,洗衣服,0,拖延,3.3,拖延,3.3,物料清单,1.3,拖延,3.3,
15:00-15:30,完善报表,1.3,财报汇报,1.3,出门散步到太平湖,2,拖延,3.3,拖延,3.3,物料清单,1.3,物料清单,1.3,
15:30-16:00,完善报表,1.3,财报汇报,1.3,出门散步到太平湖,2,拖延,3.3,拖延,3.3,物料清单,1.3,物料清单,1.3,
16:00-16:30,完善报表,1.3,财报汇报,1.3,出门散步到太平湖,2,拖延,3.3,去处理余花,1.3,与圆圆电话,2,物料清单,1.3,
16:30-17:00,完善报表,1.3,财报汇报,1.3,出门散步到太平湖,2,拖延,3.3,时间管理,1.5,与圆圆电话,2,物料清单,1.3,本周干的最傻的3件事儿
17:00-17:30,完善报表,1.3,休息,0,出门散步到太平湖,2,拖延,3.3,时间管理,1.5,与圆圆电话,2,物料清单,1.3,
17:30-18:00,王者,2,去城上,0,出门散步到太平湖,2,吃饭,0,时间管理,1.5,与圆圆电话,2,吃饭,0,
18:00-18:30,吃饭,0,跟我老妈打电话,0,短视频,3.2,回家,0,吃饭,0,与老妈电话,0,回家,0,
18:30-19:00,回家,0,吃饭,0,短视频,3.2,短视频,3.2,游戏,0,吃饭,0,短视频,3.2,本周听到或说的最牛的3句话
19:00-19:30,短视频,3.2,吃饭,0,短视频,3.2,短视频,3.2,回家,0,回家,0,短视频,3.2,
19:30-20:00,短视频,3.2,散步,0,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,
20:00-20:30,洗澡,0,回家,0,短视频,3.2,短视频,3.2,洗澡,0,短视频,3.2,短视频,3.2,
